05:33:16.985;ff 06 b8 0f c1 0f b6 0f 00 80 0a;0x706
05:33:16.992;ff 07 39 0c 00 00 60 02 df 00 0a;0x707
05:33:16.995;ff 08 c4 0f c2 0f b3 0f b7 0f 0a;0x708
05:33:17.001;ff 09 cb 0f b3 0f c9 0f 00 80 0a;0x709
05:33:17.003;ff 0b b2 0f b5 0f bb 0f b7 0f 0a;0x70b
05:33:17.007;ff 0c ba 0f ae 0f c6 0f 00 80 0a;0x70c
05:33:17.019;ff f4 00 00 00 00 00 00 80 3f 0a;0x7f4
05:33:17.023;ff f5 00 00 00 00 00 00 00 00 0a;0x7f5
05:33:17.025;ff f6 b4 fc 2b fe 42 fb 2d 00 0a;0x7f6
05:33:17.027;ff f7 5c 04 00 00 5e 02 01 00 0a;0x7f7
05:33:17.033;ff f8 ae 0f d6 0f 04 05 01 06 0a;0x7f8
05:33:17.038;ff f9 df 00 e7 00 03 00 01 00 0a;0x7f9
05:33:17.041;ff fa 61 b9 01 00 f9 ff ff ff 0a;0x7fa
05:33:17.053;ff fb 8a 0c 80 0c 80 04 a3 03 0a;0x7fb
05:33:17.057;ff fc 00 00 00 00 1d 00 6c 00 0a;0x7fc
05:33:17.060;ff fd 80 80 00 00 00 00 00 00 0a;0x7fd
