pos;nr;name;team;brand;model;drivernum;drivername;pit_reason;time_pit_in;pitcount;time_pit_out;lapnumber;time_of_day (lap end);racetime;laptime;sector_1_time;sector_2_time;sector_3_time;Sector 3;Sector 4
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;171;02:59:42.069;13:59:41.493;4:27.211;1:21.671;1:44.096;1:21.444;64.93;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;172;03:03:57.335;14:03:56.759;4:15.266;1:20.960;1:38.737;1:15.569;59.45;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;173;03:08:14.733;14:08:14.157;4:17.398;1:20.714;1:37.660;1:19.024;62.79;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;174;03:12:32.332;14:12:31.756;4:17.599;1:25.841;1:36.236;1:15.522;54.18;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;175;03:16:54.820;14:16:54.244;4:22.488;1:20.536;1:40.888;1:21.064;62.55;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;176;03:21:16.346;14:21:15.770;4:21.526;1:21.367;1:40.910;1:19.249;60.34;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;177;03:25:34.157;14:25:33.581;4:17.811;1:21.441;1:39.321;1:17.049;62.43;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;178;03:30:02.006;14:30:01.430;4:27.849;1:24.014;1:43.618;1:20.217;62.43;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;179;03:34:23.783;14:34:23.207;4:21.777;1:23.359;1:43.766;1:14.652;63.78;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;180;03:38:49.139;14:38:48.563;4:25.356;1:22.348;1:44.032;1:18.976;;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;Driver Change;03:43:06;7;;181;03:43:25.012;14:43:24.436;4:35.873;1:23.559;1:40.767;;60.9;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;03:49:16;182;03:53:50.425;14:53:49.849;10:25.413;;1:39.495;1:19.483;59.34;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;183;03:58:04.884;14:58:04.308;4:14.459;1:22.357;1:36.607;1:15.495;59.34;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;184;04:02:22.079;15:02:21.503;4:17.195;1:25.833;1:34.007;1:17.355;63.41;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;185;04:06:45.926;15:06:45.350;4:23.847;1:19.508;1:47.458;1:16.881;62.79;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;186;04:10:59.197;15:10:58.621;4:13.271;1:21.413;1:36.231;1:15.627;64.54;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;187;04:15:07.889;15:15:07.313;4:08.692;1:20.346;1:34.756;1:13.590;62.31;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;188;04:19:27.419;15:19:26.843;4:19.530;1:19.790;1:43.409;1:16.331;57.55;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;189;04:23:37.671;15:23:37.095;4:10.252;1:20.224;1:32.258;1:17.770;63.65;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;190;04:27:55.259;15:27:54.683;4:17.588;1:23.423;1:38.453;1:15.712;54.64;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;191;04:32:08.531;15:32:07.955;4:13.272;1:19.898;1:33.990;1:19.384;71.52;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;192;04:36:27.884;15:36:27.308;4:19.353;1:21.504;1:41.735;1:16.114;67.64;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;193;04:40:56.448;15:40:55.872;4:28.564;1:20.468;1:47.694;1:20.402;58.7;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;194;04:45:00.561;15:44:59.985;4:04.113;1:18.294;1:31.350;1:14.469;57.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;195;04:49:10.420;15:49:09.844;4:09.859;1:20.796;1:31.141;1:17.922;62.43;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;196;04:53:24.160;15:53:23.584;4:13.740;1:19.919;1:36.334;1:17.487;59.89;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;197;04:57:40.758;15:57:40.182;4:16.598;1:19.623;1:40.932;1:16.043;66.26;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;198;05:01:58.262;16:01:57.686;4:17.504;1:23.021;1:41.667;1:12.816;55.86;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;199;05:06:09.782;16:06:09.206;4:11.520;1:20.086;1:36.601;1:14.833;60.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;200;05:10:33.490;16:10:32.914;4:23.708;1:31.031;1:36.067;1:16.610;67.78;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;201;05:14:49.511;16:14:48.935;4:16.021;1:20.500;1:36.067;1:19.454;56.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;202;05:19:05.953;16:19:05.377;4:16.442;1:20.953;1:38.490;1:16.999;54.73;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;203;05:23:33.941;16:23:33.365;4:27.988;1:24.305;1:40.508;1:23.175;55.77;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;204;05:28:13.397;16:28:12.821;4:39.456;1:26.637;1:47.804;1:25.015;54.09;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;205;05:33:15.874;16:33:15.298;5:02.477;1:27.845;1:58.050;1:36.582;54;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;206;05:38:01.629;16:38:01.053;4:45.755;1:29.286;1:49.631;1:26.838;;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;Driver Change;05:42:46;8;;207;05:43:05.988;16:43:05.412;5:04.359;1:27.233;1:54.004;;54.09;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;05:49:10;208;05:54:12.395;16:54:11.819;11:06.407;;1:54.484;1:26.235;54.36;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;209;05:59:02.765;16:59:02.189;4:50.370;1:34.193;1:49.500;1:26.677;58.06;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;210;06:03:42.714;17:03:42.138;4:39.949;1:31.716;1:47.019;1:21.214;63.28;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;211;06:08:18.801;17:08:18.225;4:36.087;1:28.320;1:46.439;1:21.328;63.28;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;212;06:12:37.004;17:12:36.428;4:18.203;1:21.596;1:40.978;1:15.629;63.65;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;213;06:16:59.294;17:16:58.718;4:22.290;1:22.814;1:42.990;1:16.486;62.07;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;214;06:21:26.128;17:21:25.552;4:26.834;1:22.191;1:39.530;1:25.113;65.45;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;215;06:25:56.013;17:25:55.437;4:29.885;1:22.859;1:50.662;1:16.364;60.67;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;216;06:30:08.884;17:30:08.308;4:12.871;1:20.138;1:36.664;1:16.069;61.36;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;217;06:34:25.878;17:34:25.302;4:16.994;1:21.349;1:39.731;1:15.914;62.31;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;218;06:38:46.065;17:38:45.489;4:20.187;1:21.610;1:41.599;1:16.978;60;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;219;06:43:00.904;17:43:00.328;4:14.839;1:21.061;1:38.874;1:14.904;54.55;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;220;06:47:34.597;17:47:34.021;4:33.693;1:22.999;1:39.931;1:30.763;55.38;
